party,variable,value,value_label,respondents,total,pct
Secular Moderates,faminc_new,5,$40-50K,168.98201763235085,2195.2627873941533,0.07697575825668593
Secular Moderates,faminc_new,6,$50-60K,160.25246163403833,2195.2627873941533,0.0729992156539323
Secular Moderates,faminc_new,7,$60-70K,115.55079853714447,2195.2627873941533,0.05263643113738877
Secular Moderates,faminc_new,8,$70-80K,133.8755495335915,2195.2627873941533,0.06098383769922418
Secular Moderates,faminc_new,9,$80-100K,121.43207981921232,2195.2627873941533,0.055315509613022715
Secular Moderates,faminc_new,10,$100-120K,131.65622082470622,2195.2627873941533,0.05997287503833942
Secular Moderates,faminc_new,11,$120-150K,173.07484308043271,2195.2627873941533,0.07884014801065255
Secular Moderates,faminc_new,12,$150-200K,104.45863792608648,2195.2627873941533,0.04758365992714804
Secular Moderates,faminc_new,13,$200-250K,50.93684657158972,2195.2627873941533,0.023203074759014786
Secular Moderates,faminc_new,14,$250-350K,25.88388774240632,2195.2627873941533,0.011790792378497573
Secular Moderates,faminc_new,15,$350-500K,15.829141753941933,2195.2627873941533,0.007210590843537063
Secular Moderates,faminc_new,16,>500K,21.660620902396442,2195.2627873941533,0.009866983136040987
Secular Moderates,faminc_new,97,Prefer not to say,241.09077972212296,2195.2627873941533,0.10982319798182585
Secular Moderates,gender4,1,Man,982.1626650000255,2195.2627873941515,0.4474009538356383
Secular Moderates,gender4,2,Woman,1184.7031766030334,2195.2627873941515,0.5396634896769306
Secular Moderates,gender4,3,Non-binary,26.310732023700623,2195.2627873941515,0.011985231187256775
Secular Moderates,gender4,4,Other,2.0862137673919405,2195.2627873941515,9.50325300174356e-4
Secular Moderates,race,1,White,1328.360586735406,2195.2627873941506,0.6051032224311578
Secular Moderates,race,2,Black,365.12965004900644,2195.2627873941506,0.166326169306786
Secular Moderates,race,3,Hispanic,279.74738678447216,2195.2627873941506,0.12743230031086233
Secular Moderates,race,4,Asian,78.7926135628648,2195.2627873941506,0.035892110054119866
Secular Moderates,race,5,Native American,18.7446992248431,2195.2627873941506,0.0085387040369293
Secular Moderates,race,6,2+ races,73.46352996103167,2195.2627873941506,0.033464572160964524
Secular Moderates,race,7,Other,37.00562221054331,2195.2627873941506,0.01685703525930497
Secular Moderates,race,8,Middle Eastern,14.018698865983016,2195.2627873941506,0.006385886439875235
Traditional Right,educ,1,No HS,1125.7789337045758,9479.763468404575,0.1187560151112127
Traditional Right,educ,2,HS grad,3336.7409904108767,9479.763468404575,0.3519856799731358
